Hot H,Hot T
0.0,2.0
1059.843252,10.547123
2616.5210239999997,23.100976
3135.708391677776,25.0
3331.3935791147865,25.741638000000002
4454.985366677776,30.0
5774.260758545406,34.999994
14056.633585913516,66.389812
15483.160918740748,71.79628600000001
17647.755116677778,80.0
22135.461326677778,90.0
24913.24062432439,96.189753
26918.687010647038,103.790304
27506.510656012913,106.018129
28557.14880155696,110.0
35114.02476127584,134.85026299999998
39111.36460155696,150.0
40351.36460155696,160.0
97391.36460155697,620.0
""
Cold H,Cold T
1059.843252000013,-8.0
2949.95712189854,13.100976
3235.8750469905563,15.0
3347.5364046823984,15.741638000000002
4597.538788164594,20.0
7357.0357767642345,24.999994
25603.691323448566,56.389812
29340.990166189193,61.79628600000001
36447.86476590414,70.0
45110.86130590414,80.0
48504.60031778668,86.189753
52671.856497557164,93.790304
54284.215217918136,96.018129
56728.14925575527,100.0
67018.14899172525,124.85026299999998
76720.86730282308,140.0
83125.41301282309,150.0
200866.6956128231,610.0
203426.26106921764,619.999892
203426.26426438175,620.0
