Net H (kW),T(degC)
106034.8996628248,625.0
106034.89646766067,624.999892
103475.33101126614,615.0
42774.048411266136,155.0
37609.50270126614,145.0
31904.12423044942,129.85026299999998
28171.000454198325,105.0
26777.704561905233,101.018129
25753.169486910134,98.790304
23591.359693462295,91.189753
22975.399979226364,85.0
18800.109649226364,75.0
13857.829247448444,66.79628600000001
11547.05773753505,61.389812
1582.7750182188283,29.999994
142.55342148681802,25.0
16.142825567611993,20.741638000000002
100.16665531278018,20.0
333.43609789854025,18.100976
1.3130829756846651e-11,5.547123
1059.843252000013,-3.0
