Hot H,Hot T
0.0,-3.0
1059.843252,5.547123
2616.5210239999997,18.100976
3135.708391677776,20.0
3331.3935791147865,20.741638000000002
4454.985366677776,25.0
5774.260758545406,29.999994
14056.633585913516,61.389812
15483.160918740748,66.79628600000001
17647.755116677778,75.0
22135.461326677778,85.0
24913.24062432439,91.189753
26918.687010647038,98.790304
27506.510656012913,101.018129
28557.14880155696,105.0
35114.02476127584,129.85026299999998
39111.36460155696,145.0
40351.36460155696,155.0
97391.36460155697,615.0
""
Cold H,Cold T
1059.843252000013,-3.0
2949.95712189854,18.100976
3235.8750469905563,20.0
3347.5364046823984,20.741638000000002
4597.538788164594,25.0
7357.0357767642345,29.999994
25603.691323448566,61.389812
29340.990166189193,66.79628600000001
36447.86476590414,75.0
45110.86130590414,85.0
48504.60031778668,91.189753
52671.856497557164,98.790304
54284.215217918136,101.018129
56728.14925575527,105.0
67018.14899172525,129.85026299999998
76720.86730282308,145.0
83125.41301282309,155.0
200866.6956128231,615.0
203426.26106921764,624.999892
203426.26426438175,625.0
